TRINITY_DN101442_c1_g5_i1,279,300,,
TRINITY_DN102284_c0_g3_i6,1,21,,
TRINITY_DN102333_c0_g5_i4,1,24,,
TRINITY_DN103678_c0_g2_i2,480,498,,
TRINITY_DN104324_c0_g2_i2,1,22,,
TRINITY_DN10508_c0_g3_i1,1,29,,
TRINITY_DN10508_c0_g3_i5,1,29,,
TRINITY_DN105103_c0_g3_i2,363,384,,
TRINITY_DN105438_c0_g4_i1,277,305,,
TRINITY_DN10555_c0_g1_i10,1357,1390,,
TRINITY_DN10555_c0_g1_i3,1505,1538,,
TRINITY_DN106127_c0_g1_i3,1,34,,
TRINITY_DN106136_c0_g2_i1,1,28,,
TRINITY_DN106136_c0_g2_i3,1,28,,
TRINITY_DN106538_c0_g3_i1,231,250,,
TRINITY_DN10686_c0_g1_i14,1,29,,
TRINITY_DN107383_c0_g3_i1,1,28,,
TRINITY_DN10828_c0_g1_i5,573,599,,
TRINITY_DN10945_c0_g1_i9,837,866,,
TRINITY_DN10978_c0_g3_i3,247,267,,
TRINITY_DN110191_c0_g3_i3,415,438,,
TRINITY_DN112418_c0_g2_i1,1,25,,
TRINITY_DN1124_c0_g1_i10,984,1006,,
TRINITY_DN1124_c0_g1_i2,956,978,,
TRINITY_DN11304_c0_g1_i5,1,25,,
TRINITY_DN11345_c0_g2_i1,1,35,,
TRINITY_DN11345_c0_g2_i8,1,35,,
TRINITY_DN11367_c0_g1_i4,990,1018,,
TRINITY_DN11367_c0_g1_i8,1187,1215,,
TRINITY_DN1138_c0_g1_i3,1,24,,
TRINITY_DN1138_c0_g1_i5,1,24,,
TRINITY_DN1138_c0_g1_i9,1,24,,
TRINITY_DN114023_c0_g1_i4,417,435,,
TRINITY_DN11408_c0_g1_i4,1,34,,
TRINITY_DN11607_c0_g1_i3,1,36,,
TRINITY_DN1164_c0_g1_i2,1,30,,
TRINITY_DN1164_c0_g1_i7,1,30,,
TRINITY_DN11712_c0_g1_i3,1,27,,
TRINITY_DN1171_c0_g1_i6,205,232,,
TRINITY_DN1180_c0_g2_i1,1,25,,
TRINITY_DN1188_c0_g1_i2,1,23,,
TRINITY_DN11923_c0_g1_i5,286,317,,
TRINITY_DN11940_c0_g2_i3,1,20,,
TRINITY_DN1199_c1_g1_i4,1,21,,
TRINITY_DN1199_c1_g1_i5,1,21,,
TRINITY_DN12151_c1_g1_i1,305,328,,
TRINITY_DN12155_c0_g3_i1,492,528,,
TRINITY_DN121716_c0_g2_i1,231,253,,
TRINITY_DN122037_c0_g1_i2,1,19,,
TRINITY_DN122380_c0_g7_i1,1,29,,
TRINITY_DN12255_c0_g1_i9,658,685,,
TRINITY_DN12389_c0_g2_i3,539,558,,
TRINITY_DN12484_c0_g3_i7,1,29,,
TRINITY_DN12510_c0_g6_i1,523,542,,
TRINITY_DN125591_c0_g4_i3,1,32,,
TRINITY_DN128900_c0_g3_i3,837,867,,
TRINITY_DN1298_c8_g1_i2,634,654,,
TRINITY_DN13014_c0_g3_i1,368,387,,
TRINITY_DN130415_c0_g1_i2,1,22,232,252
TRINITY_DN13090_c0_g1_i1,1,25,,
TRINITY_DN13315_c0_g1_i2,409,430,,
TRINITY_DN13315_c0_g1_i3,408,429,,
TRINITY_DN13404_c1_g1_i2,1,21,287,307
TRINITY_DN138136_c0_g6_i1,1,24,,
TRINITY_DN138736_c1_g1_i1,1,24,,
